ISO_3DIGIT;country;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;;
CAN;Canada;1958.724166;2002.054966;1913.626105;1816.182854;1847.789778;1842.340506;1823.271063;1771.994023;1853.119579;1782.712742;1659.031834;1702.56286;1713.915934;1708.267977;1724.318199;1712.22428;1676.91061;;
SPM;Saint Pierre and Miquelon;0.351712042;0.37024072;0.371104854;0.367920159;0.378171025;0.401797446;0.363952358;0.352045734;0.362566638;0.380712086;0.390517149;0.395625357;0.438472678;0.734520615;0.735908333;0.917604967;0.902032117;;
USA;United States;17594.57051;17603.05686;17000.45858;16390.04417;16423.58861;16161.284;15743.88052;15323.90228;15285.79261;14171.96191;12942.21328;13317.64942;13219.93427;13772.22717;13729.35676;13994.52931;13860.1652;;
MEX;Mexico;1790.057793;1896.615369;1866.215298;1847.774671;1955.500008;1992.874984;2084.852314;2118.60076;2115.72122;2159.566349;2051.385733;2145.604016;2226.976364;2198.587508;2203.348161;2162.283914;2151.727211;;
ABW;Aruba;2.14286938;2.018907672;2.114549939;1.987490221;1.95201497;2.144105946;1.878092478;1.921353003;1.69004674;1.756238275;1.832773853;1.899559755;1.854030216;3.267130815;3.955955751;3.880197414;3.885787401;;
AIA;Anguilla;0.083975315;0.108771372;0.104489337;0.064405145;0.075259965;0.065929518;0.064545056;0.061404934;0.053020035;0.067527342;0.092740734;0.113634703;0.121516874;0.121559634;0.130516098;0.130308073;0.130819289;;
ANT;Netherlands Antilles;36.85801374;37.78659044;37.68525156;35.23321227;32.72690095;34.35301494;33.91573418;34.51203989;37.39109841;43.26883825;41.86616307;43.36702833;53.08199341;54.80897227;56.14263482;53.98171637;54.67250074;;
ATG;Antigua and Barbuda;2.441843496;2.432639064;2.420380283;2.389840788;3.075877179;3.195847123;3.227325893;3.122612728;3.190784763;3.365790859;3.852349089;3.919050195;4.317552846;7.308866573;7.259981693;6.628789856;7.276169365;;
BHS;Bahamas;16.08794248;15.72178327;15.89616093;15.80822332;19.00470127;19.7537249;20.77392794;20.07111771;19.5914824;14.14760135;16.6175356;16.96486119;18.60910402;31.08521474;33.52489552;32.00611489;30.57430503;;
BLZ;Belize;4.862453133;6.54712394;7.777426802;6.373544124;6.350046498;7.007039095;6.629606636;6.85503301;6.978674768;4.446131509;4.186961415;4.398135615;4.708867191;6.832070526;6.646265235;6.496911835;6.432196742;;
