ISO_3DIGIT;country;Y_1999;Y_2000;Y_2001;Y_2002;Y_2003;Y_2004;Y_2005;Y_2006;Y_2007;Y_2008;Y_2009;Y_2010;Y_2011;Y_2012;Y_2013;Y_2014;Y_2015;Y_2016;Y_2017;Y_2018
ABW;Aruba;5.734273862;6.551858329;6.671456074;6.735005305;8.172594628;8.727494034;8.870228743;8.510338472;8.563916428;8.293094646;8.783765092;9.473142677;7.391467938;9.798981279;9.684692334;9.397830786;9.685250734;9.176848325;6.049340252;5.874513331
AFG;Afghanistan;6.666917478;4.987857835;6.219715922;5.795080417;8.040600684;7.432438489;10.03831015;11.22706518;17.83799069;30.26288743;41.13877505;48.54083484;71.62893425;60.60972906;53.36439535;50.20316107;45.39853903;36.16744378;49.4817053;50.83178771
AGO;Angola;19.97342945;21.49540365;24.16086128;24.49756951;33.67654899;25.171522;23.3288743;28.9341184;31.74636296;40.16162313;54.00133584;57.45756491;57.50397157;66.50175461;90.28678945;112.3297701;113.0087264;117.2899789;91.36957946;90.75358864
AIA;Anguilla;0.019544179;0.02097765;0.020477415;0.019034765;0.019623349;0.021120231;0.01732766;0.016924309;0.01745206;0.017488364;0.017369826;0.017625472;0.020287025;0.02037502;0.021873206;0.021798143;0.021870765;0.022731758;0.023588304;0.022899387
AIR;Int. Aviation;119.5209368;124.0210799;121.5334283;128.5441609;127.9604381;138.0918996;147.0132337;152.3896559;156.6057134;159.1865307;151.6152421;160.0272755;165.9670172;167.2762171;170.1262589;175.8110959;185.533559;193.7169782;204.5852004;213.1693843
ALB;Albania;12.97450462;14.17218304;14.54108097;16.01413649;14.21946595;13.61646679;11.68525149;13.72214314;12.20799428;9.709045849;6.761085602;8.735177693;9.579617817;6.631097032;6.689940646;8.863188628;7.44610139;7.327152315;11.18535725;12.83248989
ANT;Netherlands Antilles;38.5513451;39.18048677;38.28592364;41.28468396;42.79063194;42.18633747;43.60146439;43.42910621;47.06906149;46.37859694;45.57373589;34.02519426;41.03173317;30.64278765;30.22536188;31.17279576;30.65723984;28.21475229;24.30879836;20.88898212
ARE;United Arab Emirates;66.86712858;65.13548999;62.80114158;60.56664194;61.2133816;64.13140693;63.3513654;68.70122514;66.83770896;75.91744758;74.78697467;87.70162854;86.06113209;114.0055374;127.2684006;138.1195493;135.4232177;142.9338528;147.1256994;135.5376974
ARG;Argentina;264.3131599;239.5437523;204.6389115;168.7036211;182.2271697;269.0152319;273.4015688;320.2099034;345.4486056;413.8527545;394.9955446;413.4776665;438.9125401;460.4747854;415.9628222;451.8422483;488.2936517;452.6142791;319.3862383;307.1923244
ARM;Armenia;4.730397414;0.860265007;0.759865011;1.16517834;1.413856037;0.886481041;0.869754974;0.891802731;0.96592039;0.959737655;0.851210144;0.912457478;0.8911568;0.941577894;0.882024965;0.865781298;0.595892299;0.963953542;0.906104592;0.882651752
ASM;American Samoa;1.2482E-05;1.34828E-05;1.59782E-05;1.66714E-05;2.96574E-05;1.51964E-05;1.48878E-05;1.48801E-05;1.58018E-05;1.56607E-05;1.58867E-05;1.60619E-05;1.61831E-05;1.52519E-05;1.56779E-05;1.71892E-05;1.82961E-05;1.78099E-05;1.81979E-05;1.85352E-05
ATG;Antigua and Barbuda;3.088417744;3.149491526;3.135893501;3.272289656;3.714430169;4.010360639;3.764479422;3.737155675;3.848742931;3.968188943;4.568306809;5.161712904;5.288746697;5.795674203;6.144619904;5.940943463;6.001724844;5.862704547;3.833945896;3.723144942
AUS;Australia;844.324435;867.8565452;922.8000074;926.5394212;949.8012295;971.7962495;988.2140528;978.3239284;1003.665763;1037.280191;1047.663009;967.8492032;980.1802839;963.5058906;971.2088645;941.6934135;937.4459274;945.8675687;913.3049599;903.4645343
AUT;Austria;78.72641032;71.20025994;74.16847281;64.12575177;64.92405179;66.13689247;64.59109059;63.70257525;59.24418395;59.52616984;52.68053602;56.43765506;55.33740144;51.49685115;51.59875525;50.22559188;46.68264737;48.98764164;49.01647596;48.81793289
AZE;Azerbaijan;293.3500433;303.0401404;146.9177193;133.7119278;166.9767161;119.6215549;139.9989261;106.0894335;91.61097391;48.01878259;20.88774307;8.070095554;16.29683063;18.10494522;9.714427793;8.917474341;36.57859498;54.93328173;32.94685597;31.35559827
BDI;Burundi;3.39827006;3.479453949;4.208059372;4.172495789;4.047076326;4.306126288;4.137055092;4.385364811;5.090047656;4.563048232;4.626675366;4.832706898;5.084004505;3.508413087;3.736214397;3.487524523;4.067270977;4.488164409;3.616082046;3.665007355
BEL;Belgium;160.0572069;154.2836626;163.0138223;117.1001022;120.7738901;106.442366;98.41268343;85.31593586;77.93786117;77.38480014;67.44345392;70.32728656;61.61326368;58.70018992;63.67501679;61.14167226;62.26428855;59.18843241;55.63757524;55.32908902
BEN;Benin;5.111585527;4.831022284;5.956556202;6.477771328;6.583516496;7.23756582;7.705961817;8.704880475;9.232015736;9.312248913;9.187760473;8.927200555;8.040426341;6.456705938;6.67717645;7.453228386;8.032068231;9.290477599;8.456519627;9.003740269
BFA;Burkina Faso;6.986284444;7.313950638;8.263187255;7.840297491;8.583364746;8.590225249;9.568916124;9.826174899;11.97076528;13.39094607;12.9779027;13.68737774;14.99895843;16.45821636;18.11513527;17.24755359;20.74291814;18.44082791;20.84012814;21.64863041
BGD;Bangladesh;66.74805252;68.16171386;78.58531978;80.88113539;82.2322404;95.27907036;98.14690853;100.6968312;99.54073284;102.9056664;93.92981503;99.56085728;136.8645479;173.6017173;192.8253577;208.9765476;228.1468778;190.1967826;219.5074657;250.6155817
BGR;Bulgaria;444.3913313;439.3464074;498.0946124;457.5554275;501.5849612;495.4223182;494.2680823;500.5234033;563.0279462;555.3810579;504.5563721;535.4256498;615.7779819;535.1686349;471.770617;498.1215516;536.2572286;476.7734193;514.7679182;454.9002901
BHR;Bahrain;4.085701935;3.98719362;4.090108399;4.106267238;4.22740899;4.310566189;5.492006343;20.56261552;13.21063268;6.320549029;5.975059088;5.991484384;6.206097614;6.27936138;6.695941365;6.795726193;7.106384916;6.925881049;7.000400806;7.216639869
BHS;Bahamas;20.85222459;23.63061645;23.71590172;23.96650892;18.20725624;20.58830072;18.63091071;20.80353325;23.39808677;23.54174923;19.06347407;23.73825768;21.14250286;25.98579084;25.01252901;23.56466719;22.62532223;22.82642556;15.17150985;14.73368356
BIH;Bosnia and Herzegovina;98.77469976;120.5907933;119.2085597;130.7928555;134.4632802;133.9701308;138.6848277;155.5176878;162.727062;175.710591;173.1035509;171.9443732;203.6099461;187.8125635;191.7262786;157.8922535;157.1115406;180.9610002;184.9555794;186.2200829
BLR;Belarus;226.6141814;179.1494905;167.8285902;147.4698258;129.1492443;125.3935533;105.2347842;114.3421852;73.70550907;83.20261724;193.7434323;90.98927602;62.77890371;78.52949254;66.03758488;68.99034314;66.54936142;74.07170908;64.53983711;65.21570032
