iso2;data_quality;
AE;2;
AL;2;
AT;3;
AU;3;
BA;2;
BE;3;
BG;2;
BH;2;
BR;4;
CA;3;
CH;4;
CI;3;
CL;3;
CN;3;
CY;2;
CZ;3;
DO;4;
DD;3;
DE;4;
DK;4;
EE;3;
EG;1;
ES;3;
FI;4;
FR;5;
GB;4;
GR;3;
HR;2;
HU;3;
HK;3;
IN;3;
IQ;2;
IR;2;
IS;3;
IT;3;
JO;2;
KR;3;
KS;2;
KW;2;
LB;3;
LT;2;
LU;3;
LV;2;
MD;2;
ME;2;
MK;2;
MT;2;
MY;4;
NL;4;
NO;4;
OM;2;
PL;3;
PS;2;
PT;3;
QA;2;
QE;4;
QP;3;
QY;4;
RO;2;
RS;2;
RU;3;
SA;0;
SE;4;
SI;3;
SK;2;
SG;3;
SY;2;
TH;4;
TR;2;
TW;3;
US;5;
UY;3;
WO;3;
XA;3;
XF;3;
XL;3;
XM;3;
XN;3;
XR;3;
YE;2;
ZA;3;
AO;1;
BF;1;
BI;1;
BJ;1;
BW;1;
CD;1;
CF;1;
CG;1;
CM;1;
CV;1;
DJ;1;
DZ;1;
ET;1;
GA;1;
GH;1;
GM;1;
GN;1;
GW;1;
KE;1;
KM;1;
LR;1;
LS;1;
MA;1;
MG;1;
ML;1;
MR;1;
MU;1;
MW;1;
MZ;1;
NA;1;
NE;1;
NG;1;
QB;2;
QK;2;
QN;2;
QO;2;
QT;2;
QV;2;
RW;1;
SC;1;
SD;1;
SL;1;
SN;1;
SS;1;
ST;1;
SZ;1;
TD;1;
TG;1;
TN;1;
TZ;1;
UG;1;
ZM;1;
ZW;1;
ER;0;
GQ;0;
LY;0;
SO;0;
ZZ;0;
QF;2;
BD;1;
BT;1;
KG;1;
KZ;1;
LA;1;
LK;1;
MM;1;
MN;1;
MV;1;
NP;1;
PH;1;
PK;1;
TJ;1;
TL;1;
TM;1;
UZ;1;
VN;1;
JP;3;
NZ;3;
AF;0;
BN;0;
KH;0;
KP;0;
MO;0;
ID;1;
PG;0;
