Country Name;Country Code;Series Name;Series Code;1998 [YR1998];1999 [YR1999];2000 [YR2000];2001 [YR2001];2002 [YR2002];2003 [YR2003];2004 [YR2004];2005 [YR2005];2006 [YR2006];2007 [YR2007];2008 [YR2008];2009 [YR2009];2010 [YR2010];2011 [YR2011];2012 [YR2012];2013 [YR2013];2014 [YR2014];2015 [YR2015];2016 [YR2016];2017 [YR2017];2018 [YR2018];2019 [YR2019];2020 [YR2020];2021 [YR2021]
Afghanistan;AFG;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;;;;;;;;;;;;;;;;;;;;;;;
Albania;ALB;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;11.47;16.84;20.12;21.33;20.95;20.85;22.22;23.01;25.21;28.25;25.30;25.24;27.98;29.24;28.94;28.92;28.21;27.27;28.98;31.57;31.57;31.30;22.70;30.62
Algeria;DZA;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;22.58;28.15;42.07;36.69;35.50;38.25;40.05;47.21;48.81;47.07;47.97;35.37;38.44;38.79;36.89;33.21;30.49;23.17;20.87;22.63;25.86;22.71;17.32;26.58
American Samoa;ASM;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;;;;101.17;97.90;90.37;99.60;100.41;97.49;114.46;78.52;63.53;58.77;75.47;71.79;66.72;63.60;63.93;59.15;68.23;61.67;59.50;47.11
Andorra;AND;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;;;;;;;;;;;;;;;;;;;;;;;
Angola;AGO;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;;89.69;75.39;57.08;54.32;58.38;65.53;63.47;67.91;72.48;58.76;61.54;60.67;55.94;50.75;44.70;29.75;28.12;29.00;40.84;40.79;35.64;44.28
Antigua and Barbuda;ATG;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;111.71;107.70;98.60;97.09;91.69;94.28;101.33;93.03;82.64;77.28;79.66;79.80;79.59;82.50;79.02;80.59;82.20;76.04;72.61;67.74;64.52;70.88;43.70;
Argentina;ARG;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;10.42;9.83;10.99;11.58;28.38;25.93;23.85;23.25;23.03;22.66;22.06;19.56;18.93;18.45;16.24;14.62;14.41;10.71;12.53;11.32;14.44;17.92;16.61;18.03
Armenia;ARM;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;19.00;20.76;22.16;24.15;27.83;30.48;28.19;27.31;22.15;18.19;14.27;14.67;19.75;22.52;27.56;28.35;28.56;29.73;33.74;38.22;39.39;41.35;29.76;35.34
Aruba;ABW;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;79.64;79.93;74.41;70.99;64.55;62.72;64.67;68.09;64.60;65.05;65.53;62.92;60.22;69.74;73.10;76.55;78.26;72.85;71.82;72.56;73.80;73.02;51.65;68.91
Australia;AUS;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;19.56;18.31;19.41;22.17;20.74;19.07;17.17;18.23;19.87;20.20;20.16;23.01;19.80;21.44;21.50;19.99;21.10;20.07;19.27;21.23;21.87;24.15;24.01;22.08
Austria;AUT;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;38.35;39.36;43.35;44.62;45.32;44.57;46.87;48.62;50.84;52.56;53.25;45.21;51.26;53.95;53.97;53.44;53.39;53.09;52.41;54.05;55.46;55.76;51.61;55.90
Azerbaijan;AZE;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;22.70;27.97;40.17;41.50;42.77;42.01;48.79;62.94;66.50;68.13;65.78;51.64;54.30;56.43;52.97;48.42;43.27;37.79;46.43;48.55;54.09;49.05;35.62;46.66
Bahamas, The;BHS;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;34.66;36.46;38.05;34.07;36.18;35.81;38.22;38.76;38.31;40.09;39.49;34.19;34.95;37.44;38.13;39.79;37.71;37.00;33.26;32.07;35.86;35.69;25.29;27.49
Bahrain;BHR;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;64.60;78.87;79.18;73.61;72.51;72.06;78.61;83.89;84.64;79.68;82.58;68.47;69.54;99.42;102.15;104.80;96.05;83.11;74.20;75.78;79.25;76.49;72.72;
Bangladesh;BGD;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;11.76;11.76;12.34;13.39;12.41;11.43;11.15;14.39;16.35;17.00;17.66;16.94;16.02;19.92;20.16;19.54;18.99;17.34;13.92;12.82;12.67;13.09;10.44;10.66
Barbados;BRB;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;42.39;41.69;43.24;40.97;38.99;42.96;41.69;44.81;45.97;43.73;43.69;42.66;38.93;37.93;39.29;40.93;40.02;40.05;36.54;35.75;35.52;36.48;29.74;30.37
Belarus;BLR;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;59.05;59.20;69.21;66.75;63.63;65.16;67.89;59.80;60.06;60.94;60.94;48.88;51.37;78.47;78.78;58.33;54.94;58.01;62.51;66.79;70.46;65.09;61.01;72.11
Belgium;BEL;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;64.17;64.56;72.55;71.61;70.83;69.04;70.91;74.28;76.80;78.30;80.88;68.83;75.85;80.70;80.40;79.32;79.80;77.81;79.43;83.18;83.08;82.40;79.45;86.86
Belize;BLZ;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;43.87;45.18;43.73;42.22;44.00;44.92;42.61;46.12;52.12;50.88;54.14;45.64;50.93;57.10;59.77;56.17;55.50;51.16;46.91;49.37;51.08;51.25;37.04;46.48
Benin;BEN;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;27.09;23.01;20.61;19.87;19.73;18.64;18.51;18.48;18.06;22.04;22.14;19.93;23.07;20.85;23.90;27.57;31.43;24.72;27.61;27.21;27.27;29.63;19.87;28.45
Bermuda;BMU;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;;;;;;;;;;;;50.79;52.54;50.51;51.61;51.16;49.97;49.33;48.54;51.48;51.74;47.14;48.72
Bhutan;BTN;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;34.33;32.65;30.39;27.14;24.61;26.29;31.94;39.30;55.83;56.28;50.00;45.82;43.48;42.20;39.65;41.43;37.45;34.44;29.62;30.08;30.82;33.94;29.66;31.83
Bolivia;BOL;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;19.70;16.88;18.27;19.97;21.63;25.60;31.14;35.55;41.77;41.80;44.91;35.72;41.19;44.09;47.17;44.09;43.29;30.87;24.49;24.90;25.99;24.97;20.27;27.82
Bosnia and Herzegovina;BIH;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;27.30;27.64;21.88;22.07;19.13;20.59;22.54;24.32;26.26;27.10;26.85;25.01;29.70;32.04;32.35;33.74;33.99;35.53;36.34;40.87;42.61;40.59;34.65;42.67
Botswana;BWA;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;49.29;55.20;51.83;48.66;52.16;48.83;49.61;52.92;51.78;56.48;46.95;35.83;42.14;44.24;48.12;61.38;61.28;53.09;54.61;42.92;44.23;37.15;31.35;44.61
Brazil;BRA;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;7.03;9.56;10.19;12.37;14.23;15.18;16.55;15.24;14.37;13.33;13.53;10.85;10.87;11.58;11.88;11.74;11.01;12.90;12.47;12.52;14.63;14.12;16.80;20.10
