country;iso;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Aruba;ABW;4.92;2.37;-2.13;0.12;6.32;-1.38;-0.05;1.84;0.58;-12.77;-3.83;2.40;-1.83;5.64;-0.71;2.89;1.52;4.92;4.74;0.18;-18.70
Africa Eastern and Southern;AFE;0.75;1.04;1.27;0.47;2.79;3.36;3.76;3.72;1.50;-2.05;2.37;0.94;-1.92;1.41;1.23;0.09;-0.24;-0.02;-0.08;-0.64;-5.57
Afghanistan;AFG;;;;0.93;-2.50;7.32;1.08;11.80;1.86;17.14;11.10;-3.21;8.25;2.00;-0.96;-1.67;-0.35;-0.25;-1.69;0.93;-5.36
Africa Western and Central;AFW;0.97;2.35;6.93;2.64;5.05;2.93;2.48;2.64;3.36;3.35;4.00;1.95;2.26;3.26;3.09;0.02;-2.53;-0.39;0.27;0.54;-3.43
Angola;AGO;-0.23;0.84;9.94;-0.47;7.13;11.01;7.61;9.94;7.16;-2.80;1.02;-0.35;4.54;1.10;1.03;-2.65;-6.01;-3.63;-4.68;-4.01;-8.64
Albania;ALB;7.63;9.31;4.85;5.92;5.96;6.07;6.57;6.79;8.33;4.05;4.22;2.82;1.58;1.19;1.99;2.52;3.48;3.90;4.28;2.52;-2.93
Andorra;AND;2.84;5.37;0.08;4.20;3.88;1.58;4.29;4.22;-2.94;-2.48;1.22;1.34;-5.57;-4.03;2.14;1.26;2.57;-1.42;0.00;0.24;-12.74
Arab World;ARB;4.18;-0.53;-1.51;2.63;6.55;3.12;3.46;1.85;2.77;-2.19;2.25;1.05;2.93;0.28;0.66;1.11;1.38;-0.99;0.28;-0.79;-6.44
United Arab Emirates;ARE;4.84;-3.85;-2.63;3.67;4.63;-2.19;-4.02;-13.92;-13.29;-17.15;-4.26;5.76;3.69;4.01;3.17;5.82;4.65;-0.09;0.52;0.32;-5.73
Argentina;ARG;-1.91;-5.45;-11.85;7.72;7.93;7.73;6.93;7.92;3.03;-6.87;9.84;4.79;-2.15;1.27;-3.58;1.63;-3.11;1.76;-3.60;-2.97;-10.81
Armenia;ARM;7.15;10.84;14.22;14.77;11.16;14.59;13.98;14.54;7.65;-13.55;2.82;5.32;7.74;3.76;4.01;3.61;0.65;8.02;5.77;8.21;-6.70
American Samoa;ASM;;;;1.38;0.96;0.24;-3.39;2.67;-1.80;-3.26;1.25;0.99;-3.23;-1.22;3.28;4.85;0.11;-5.14;4.87;1.83;7.64
Antigua and Barbuda;ATG;4.46;-6.00;-0.26;4.88;4.61;5.24;11.28;7.82;-1.50;-13.30;-9.09;-3.13;2.26;-1.53;2.94;3.01;4.77;2.52;6.29;4.30;-20.66
Australia;AUS;2.72;0.74;2.82;1.93;3.11;1.91;1.36;1.90;1.51;-0.21;0.63;0.98;2.10;0.83;1.06;0.69;1.14;0.60;1.35;0.67;-1.28
Austria;AUT;3.13;0.88;1.15;0.45;2.10;1.55;2.94;3.39;1.14;-4.02;1.59;2.58;0.22;-0.56;-0.12;-0.11;0.89;1.55;1.93;1.07;-6.84
Azerbaijan;AZE;10.19;9.05;8.63;9.38;8.30;26.66;33.03;23.59;8.46;7.05;3.81;-1.20;0.82;4.45;1.48;-0.10;-4.18;-0.78;0.62;1.64;-4.95
Burundi;BDI;-2.86;-0.44;1.57;-4.27;1.01;-2.76;1.71;-0.28;0.64;-1.33;0.32;0.41;0.82;1.26;0.81;-5.98;-2.21;-1.77;-1.38;-1.46;-2.51
Belgium;BEL;3.47;0.75;1.25;0.62;3.12;1.76;1.88;2.92;-0.34;-2.81;1.93;0.38;0.12;-0.01;1.13;1.45;0.76;1.23;1.33;1.69;-5.77
Benin;BEN;2.69;2.21;1.55;0.37;1.32;-1.47;0.81;2.98;1.85;-0.65;-0.84;-0.01;1.80;4.13;3.29;-1.18;0.34;2.60;3.62;3.82;0.95
Burkina Faso;BFA;-1.11;3.42;1.19;4.51;1.25;5.29;2.99;1.00;2.73;-0.01;5.31;3.50;3.27;2.66;1.26;0.88;2.89;3.20;3.69;2.87;-0.77
Bangladesh;BGD;3.31;3.10;1.92;2.93;3.51;4.93;5.39;5.94;5.08;4.12;4.37;5.17;5.20;4.68;4.75;5.29;5.80;5.27;6.08;6.69;2.27
Bulgaria;BGR;5.11;5.91;8.20;6.07;7.32;7.87;7.62;7.44;6.88;-2.72;2.21;2.76;1.34;0.00;1.54;4.09;3.77;3.52;3.43;4.77;-3.38
Bahrain;BHR;2.44;-0.15;0.85;2.21;-0.10;-1.34;-1.11;1.06;-0.43;-3.47;1.39;2.12;2.64;2.35;0.41;-1.35;0.07;0.91;0.02;1.70;-3.86
Bahamas, The;BHS;2.63;1.19;1.36;-2.57;-0.47;1.99;1.10;0.03;-3.70;-5.55;0.12;-0.63;1.98;-3.77;0.94;0.08;-1.68;2.26;1.10;1.23;-24.18
Bosnia and Herzegovina;BIH;12.05;2.04;4.94;4.23;7.37;5.13;6.35;7.18;7.17;-1.36;2.63;2.79;1.03;3.96;2.47;4.46;4.43;4.40;4.96;4.04;-1.88
Belarus;BLR;6.30;5.26;5.72;7.79;12.21;10.15;10.68;9.10;10.58;0.45;8.03;5.63;1.85;1.04;1.67;-3.96;-2.61;2.64;3.37;1.60;-0.28
Belize;BLZ;9.40;1.78;1.87;6.01;1.50;-0.81;1.56;0.34;-4.26;-3.15;-1.24;-2.36;1.54;2.22;1.83;1.20;-1.92;-3.63;-0.85;2.61;-14.68
Bermuda;BMU;8.35;6.07;-2.12;2.74;1.66;1.02;4.94;2.76;-2.44;-6.15;-1.74;-2.91;-5.65;-0.59;-3.90;0.62;0.39;4.72;-0.50;0.32;-6.81
Bolivia;BOL;0.68;-0.10;0.71;0.93;2.38;2.63;2.98;2.75;4.33;1.60;2.38;3.45;3.40;5.07;3.78;3.22;2.66;2.62;2.68;0.74;-9.95
Brazil;BRA;2.97;0.06;1.76;-0.05;4.56;2.06;2.85;4.98;4.06;-1.07;6.52;3.01;1.01;2.11;-0.35;-4.36;-4.06;0.52;0.98;0.45;-4.52
Barbados;BRB;4.25;-2.63;0.38;1.78;1.03;3.58;5.74;1.69;0.20;-5.42;-2.69;-0.97;-0.69;-1.69;-0.31;2.26;2.32;0.26;-1.20;-0.31;-13.47
Brunei Darussalam;BRN;0.73;0.69;1.86;0.99;-1.28;-1.33;2.69;-1.42;-3.42;-3.21;1.11;2.34;-0.36;-3.33;-3.67;-1.52;-3.52;0.32;-0.87;2.97;0.29
Bhutan;BTN;0.50;5.47;8.16;5.18;3.50;5.13;5.42;16.91;3.57;5.53;10.70;6.80;3.98;1.04;4.70;5.65;7.19;3.77;2.25;5.02;-10.60
Botswana;BWA;-0.10;-1.74;4.11;2.81;0.93;2.69;6.35;3.73;1.18;-15.89;7.88;4.72;-2.07;9.01;3.68;-6.70;5.05;1.97;2.08;1.04;-10.40
Central African Republic;CAF;-5.18;2.14;1.35;-7.66;3.72;-1.34;2.68;2.67;-0.04;6.27;2.49;2.61;4.15;-36.78;0.16;3.89;2.94;2.59;1.79;0.83;-1.62
Canada;CAN;4.20;0.69;1.90;0.89;2.13;2.23;1.60;1.08;-0.08;-4.03;1.95;2.14;0.66;1.25;1.84;-0.09;-0.14;1.81;1.34;0.43;-6.32
Central Europe and the Baltics;CEB;4.54;3.83;4.29;4.41;6.13;5.30;6.86;6.83;4.31;-3.32;1.81;3.76;1.06;0.88;3.43;4.27;3.01;5.36;5.15;4.08;-3.19
Switzerland;CHE;3.38;0.93;-0.83;-0.77;2.00;2.09;3.42;2.99;1.51;-3.51;2.17;0.69;0.11;0.63;1.11;0.49;0.96;0.42;2.11;0.42;-3.09
Channel Islands;CHI;5.47;-2.01;-2.38;-3.97;-0.58;0.55;4.04;5.04;;;;;;;;;;;;;
Chile;CHL;3.77;2.01;2.09;3.63;5.62;4.81;5.02;4.14;2.76;-2.13;4.79;5.18;5.13;2.32;0.77;1.11;0.55;-0.21;2.14;-1.02;-7.25
China;CHN;7.64;7.55;8.40;9.35;9.46;10.74;12.09;13.64;9.09;8.86;10.10;8.95;7.13;7.05;6.75;6.42;6.24;6.30;6.25;5.58;2.00
