country;iso;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Aruba;ABW;29005.93337;29693.13991;29059.48651;29093.57824;30931.9365;30505.33919;30490.36584;31051.00157;31230.19304;27243.3332;26200.7273;26829.63448;26337.58506;27821.7916;27624.3773;28421.38649;28852.23707;30270.9416;31705.27905;31762.73403;25823.63482
Africa Eastern and Southern;AFE;1264.526699;1277.632516;1293.803019;1299.833172;1336.08018;1380.986752;1432.873966;1486.169563;1508.392382;1477.414128;1512.484129;1526.646519;1497.369205;1518.48285;1537.159571;1538.552268;1534.924746;1534.683482;1533.524108;1523.775055;1438.876104
Afghanistan;AFG;;;359.7663427;363.1014815;354.0339129;379.9558293;384.0783052;429.4125373;437.4200268;512.4092792;569.282712;551.0009703;596.4428151;608.3867146;602.5169793;592.4765375;590.4277388;588.9304508;578.985909;584.3868829;553.0364789
Africa Western and Central;AFW;1191.155978;1219.173837;1303.684669;1338.118134;1405.710653;1446.876559;1482.713127;1521.79982;1572.857213;1625.533689;1690.634529;1723.563611;1762.502106;1819.906214;1876.224943;1876.623483;1829.131551;1821.996368;1826.910949;1836.823853;1773.886822
Angola;AGO;1832.514102;1847.874736;2031.503726;2022.035684;2166.147716;2404.631169;2587.725057;2844.818355;3048.594002;2963.315988;2993.420974;2983.032611;3118.343699;3152.704327;3185.122401;3100.830685;2914.415459;2808.521753;2677.177816;2569.691347;2347.787032
Albania;ALB;1960.881946;2143.526278;2247.497491;2380.643997;2522.448714;2675.507936;2851.367012;3044.895819;3298.478044;3432.169973;3577.113388;3678.046738;3736.339101;3780.698202;3855.759734;3952.802538;4090.371657;4249.803734;4431.539181;4543.38652;4410.455165
Andorra;AND;33901.04244;35722.38713;35749.78705;37250.14737;38696.34105;39306.98487;40994.28493;42724.39766;41470.27337;40442.62462;40937.11162;41486.03485;39174.74183;37597.55613;38402.49687;38885.37601;39886.4818;39321.45827;39319.93641;39413.63447;34394.27755
Arab World;ARB;4917.073676;4890.856656;4817.198508;4944.032745;5267.706889;5431.9044;5619.783405;5723.495198;5882.299233;5753.68604;5883.43123;5945.234875;6119.280762;6136.386895;6176.971222;6245.787785;6331.945485;6269.139762;6286.807653;6237.013498;5835.394957
United Arab Emirates;ARE;59067.60347;56792.58274;55301.50955;57331.65405;59986.44002;58672.48468;56315.19123;48474.20899;42033.23358;34826.47011;33344.12116;35265.88739;36567.62229;38034.9684;39242.27531;41525.1389;43457.51348;43419.56374;43644.14704;43785.41727;41276.05551
Argentina;ARG;10672.72204;10090.65344;8895.319642;9581.969792;10341.64341;11141.31067;11913.95853;12857.09258;13246.63489;12336.86194;13551.33919;14200.26989;13895.63371;14071.50868;13567.94842;13789.06042;13360.21183;13595.03736;13105.39716;12716.2242;11341.26837
Armenia;ARM;1249.612148;1385.044814;1582.057645;1815.788251;2018.46017;2312.982895;2636.256687;3019.465605;3250.498659;2810.192882;2889.56627;3043.262831;3278.670496;3402.083904;3538.529444;3666.141876;3689.830136;3985.916757;4215.899456;4561.967866;4256.13129
American Samoa;ASM;;;12804.43584;12980.7223;13105.16908;13136.48008;12690.52911;13029.61628;12795.02456;12378.17019;12532.31112;12656.68814;12247.63529;12098.27515;12494.98021;13101.54182;13116.43098;12442.85767;13049.33015;13288.35656;14303.62703
Antigua and Barbuda;ATG;14247.97301;13392.98172;13358.81437;14010.84906;14656.29262;15423.80002;17163.39783;18505.79067;18228.64913;15804.44514;14367.9515;13918.59653;14232.96959;14015.87931;14427.40691;14861.88271;15570.90406;15962.68012;16967.08623;17697.23115;14040.36755
Australia;AUS;45893.81175;46233.24851;47535.78957;48454.2822;49960.38024;50912.4669;51606.66553;52587.786;53383.7075;53272.98473;53607.98476;54132.52175;55271.36614;55729.19299;56320.11029;56710.44572;57356.05124;57703.03436;58481.03442;58870.02169;58117.45203
Austria;AUT;38842.89052;39184.8086;39636.48261;39815.22195;40651.22662;41281.27076;42496.35105;43937.71289;44440.05589;42655.19213;43334.50896;44451.00019;44549.8817;44299.37818;44245.16874;44195.81759;44590.25163;45281.7234;46154.6251;46647.08096;43455.70007
Azerbaijan;AZE;1480.756662;1614.792119;1754.073609;1918.543625;2077.812263;2631.758981;3501.041809;4326.961569;4692.912185;5023.79077;5215.020915;5152.657454;5194.73839;5425.905292;5505.988233;5500.310382;5270.552975;5229.526141;5262.183808;5348.265267;5083.38164
Burundi;BDI;310.0067174;308.6452055;313.4864125;300.0861593;303.1196764;294.7387796;299.7691271;298.9366667;300.8413556;296.8471011;297.7917333;299.0171819;301.4813256;305.2908416;307.7655378;289.3596333;282.9759725;277.9598089;274.1319142;270.1372831;263.3609942
Belgium;BEL;35674.79125;35943.23796;36393.24177;36617.38038;37761.28132;38426.05191;39147.76356;40290.22776;40151.84987;39025.22079;39777.92528;39929.09514;39975.57364;39970.3175;40421.42079;41008.29672;41318.01964;41825.76283;42382.31828;43098.48472;40612.39246
Benin;BEN;888.7301846;908.347703;922.4176387;925.8492611;938.0381781;924.2695241;931.7691409;959.5549935;977.3031632;970.9659689;962.8161095;962.7445897;980.0746132;1020.528234;1054.108767;1041.652523;1045.150937;1072.361966;1111.22724;1153.72621;1164.705946
Burkina Faso;BFA;429.8473708;444.5497534;449.8539297;470.129581;476.0099793;501.2072485;516.1767659;521.3452574;535.5836429;535.5168327;563.9267748;583.6794751;602.7867568;618.8045811;626.6262487;632.1266837;650.4172587;671.251794;696.0445685;716.012195;710.4713527
Bangladesh;BGD;646.0381127;666.0681154;678.8678759;698.7324633;723.2282294;758.8903834;799.781907;847.2824062;890.2966484;927.0185879;967.5616037;1017.628281;1070.595743;1120.68594;1173.893634;1236.00506;1307.733035;1376.604208;1460.305017;1557.965291;1593.348321
Bulgaria;BGR;3717.900482;3937.671502;4260.372215;4519.149921;4849.8344;5231.298204;5629.758314;6048.696092;6464.672654;6288.67741;6427.810062;6605.08982;6693.612364;6693.450153;6796.689119;7074.681023;7341.047614;7599.124957;7859.692156;8234.839669;7956.46909
