country;iso;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Aruba;ABW;13.18;13.05;13.24;14.89;15.6;16.3;17.66;17.48;16.18;13.04;11.55;12.37;10.08;10.75;10.8;12.47;12.71;12.4;11.44;;
Africa Eastern and Southern;AFE;26.89;26.84;27.45;26.7;27.05;28;28.08;29.25;30.72;26.55;27.34;28.41;28.14;27.71;27;24.86;24.57;24.65;26.92;26.47;25.66
Afghanistan;AFG;;;23.81;22.71;26.23;26.81;28.21;26.88;26.92;21.9;21.15;22.74;21.16;20.44;21.23;22.12;10.47;10.05;13.39;14.06;14.03
Africa Western and Central;AFW;32.09;28.07;25.3;27.26;29.33;28.91;27.51;26.35;27.41;24.11;26.77;29.69;29.08;28.22;26.84;22.59;21.03;24.13;26.46;27.17;26.92
Angola;AGO;72.12;64.88;56.08;53.12;54.63;60.4;58.11;61.88;60.25;44.06;52.37;56.03;56.92;53.36;46.2;41.93;42.64;42.17;47.93;49.76;45.37
Albania;ALB;19.4;21.74;23.11;24.06;24.67;25.08;25.31;25.34;25.16;24.41;24.94;24.48;22.92;23.06;21.51;21.76;21.14;20.36;21.28;20.62;20.01
Andorra;AND;14.84;14.92;15.07;15.49;15.78;16.04;16.17;15.47;15.43;14.77;13.13;11.91;11.07;10.62;10.15;9.98;10.14;10.4;11.08;11.7;12.66
Arab World;ARB;49.54;46.82;46.71;47.32;49.38;53.08;54.45;53.12;55.6;46.8;49.24;54.02;54.68;52.58;49.83;40.47;38.05;40.46;45.19;43.06;37.72
United Arab Emirates;ARE;48.52;49.68;47.55;49.12;51.68;55.64;57.9;54.84;58.02;52.04;52.53;58.04;56.57;54.2;51.99;43.35;41.03;42.53;46.92;44.52;42.17
Argentina;ARG;25.99;25.24;30.56;32.65;28.82;28.63;29.2;27.42;26.27;25.28;25.26;25.21;24.43;24.01;24.28;23.15;22.05;21.78;23.72;23.16;22.18
Armenia;ARM;;;;;;;;;;;;;27.83;26.71;25.27;25.71;25.58;25.81;24.76;24.97;26.82
American Samoa;ASM;;;;;;;;;;;;;;;;;;;;;
Antigua and Barbuda;ATG;13.89;12.88;13.05;13.27;13.05;14.52;18.45;17.74;19.12;19.46;16.2;14.53;14.29;15.68;16.19;16.46;17.94;19.22;21.11;21.16;21.1
Australia;AUS;24.57;23.65;23.62;24.05;23.95;24.63;25.63;25.68;25.61;27.05;25.18;26.52;26.38;25.2;25.58;23.69;22.33;23.47;24.14;25.32;25.41
Austria;AUT;28.28;28.21;27.39;27.5;27.37;27.07;27.26;27.57;26.96;25.79;25.53;25.45;25.63;25.52;25.36;25.17;25.48;25.41;25.37;25.18;25.78
