country;var_name;var_name_short;year;top10
Afghanistan;"sptinc_p90p100_z_AF
Pre-tax national income 
Top 10% | share
";p90p100;1998;0.4194
Afghanistan;"sptinc_p90p100_z_AF
Pre-tax national income 
Top 10% | share
";p90p100;1999;0.4194
Afghanistan;"sptinc_p90p100_z_AF
Pre-tax national income 
Top 10% | share
";p90p100;2000;0.4194
Afghanistan;"sptinc_p90p100_z_AF
Pre-tax national income 
Top 10% | share
";p90p100;2001;0.4194
Afghanistan;"sptinc_p90p100_z_AF
Pre-tax national income 
Top 10% | share
";p90p100;2002;0.4194
Afghanistan;"sptinc_p90p100_z_AF
Pre-tax national income 
Top 10% | share
";p90p100;2003;0.4194
Afghanistan;"sptinc_p90p100_z_AF
Pre-tax national income 
Top 10% | share
";p90p100;2004;0.4194
Afghanistan;"sptinc_p90p100_z_AF
Pre-tax national income 
Top 10% | share
";p90p100;2005;0.4194
Afghanistan;"sptinc_p90p100_z_AF
Pre-tax national income 
Top 10% | share
";p90p100;2006;0.4194
Afghanistan;"sptinc_p90p100_z_AF
Pre-tax national income 
Top 10% | share
";p90p100;2007;0.4194
Afghanistan;"sptinc_p90p100_z_AF
Pre-tax national income 
Top 10% | share
";p90p100;2008;0.4194
Afghanistan;"sptinc_p90p100_z_AF
Pre-tax national income 
Top 10% | share
";p90p100;2009;0.4081
Afghanistan;"sptinc_p90p100_z_AF
Pre-tax national income 
Top 10% | share
";p90p100;2010;0.4044
Afghanistan;"sptinc_p90p100_z_AF
Pre-tax national income 
Top 10% | share
";p90p100;2011;0.3942
Afghanistan;"sptinc_p90p100_z_AF
Pre-tax national income 
Top 10% | share
";p90p100;2012;0.3876
Afghanistan;"sptinc_p90p100_z_AF
Pre-tax national income 
Top 10% | share
";p90p100;2013;0.3923
Afghanistan;"sptinc_p90p100_z_AF
Pre-tax national income 
Top 10% | share
";p90p100;2014;0.3961
Afghanistan;"sptinc_p90p100_z_AF
Pre-tax national income 
Top 10% | share
";p90p100;2015;0.3987
Afghanistan;"sptinc_p90p100_z_AF
Pre-tax national income 
Top 10% | share
";p90p100;2016;0.4041
