country;indicator;name;year;value
Afghanistan;"shweal_p0p50_z_AF
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;1998;0.048
Afghanistan;"shweal_p0p50_z_AF
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;1999;0.0482
Afghanistan;"shweal_p0p50_z_AF
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;2000;0.048
Afghanistan;"shweal_p0p50_z_AF
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;2001;0.0479
Afghanistan;"shweal_p0p50_z_AF
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;2002;0.0477
Afghanistan;"shweal_p0p50_z_AF
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;2003;0.0479
Afghanistan;"shweal_p0p50_z_AF
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;2004;0.0476
Afghanistan;"shweal_p0p50_z_AF
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;2005;0.0474
Afghanistan;"shweal_p0p50_z_AF
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;2006;0.0472
Afghanistan;"shweal_p0p50_z_AF
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;2007;0.0477
Afghanistan;"shweal_p0p50_z_AF
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;2008;0.0478
Afghanistan;"shweal_p0p50_z_AF
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;2009;0.0478
Afghanistan;"shweal_p0p50_z_AF
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;2010;0.0478
Afghanistan;"shweal_p0p50_z_AF
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;2011;0.0482
Afghanistan;"shweal_p0p50_z_AF
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;2012;0.0482
Afghanistan;"shweal_p0p50_z_AF
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;2013;0.0481
Afghanistan;"shweal_p0p50_z_AF
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;2014;0.0484
Afghanistan;"shweal_p0p50_z_AF
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;2015;0.0483
Afghanistan;"shweal_p0p50_z_AF
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;2016;0.048
Afghanistan;"shweal_p0p50_z_AF
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;2017;0.0478
Afghanistan;"shweal_p0p50_z_AF
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;2018;0.0478
Afghanistan;"shweal_p0p50_z_AF
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;2019;0.0478
Afghanistan;"shweal_p0p50_z_AF
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;2020;0.0478
Afghanistan;"shweal_p0p50_z_AF
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;2021;0.0478
Afghanistan;"shweal_p90p100_z_AF
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1998;0.5843
Afghanistan;"shweal_p90p100_z_AF
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1999;0.5831
Afghanistan;"shweal_p90p100_z_AF
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2000;0.5842
Afghanistan;"shweal_p90p100_z_AF
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2001;0.5853
Afghanistan;"shweal_p90p100_z_AF
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2002;0.5863
Afghanistan;"shweal_p90p100_z_AF
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2003;0.5851
Afghanistan;"shweal_p90p100_z_AF
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2004;0.5874
Afghanistan;"shweal_p90p100_z_AF
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2005;0.5883
Afghanistan;"shweal_p90p100_z_AF
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2006;0.5899
Afghanistan;"shweal_p90p100_z_AF
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2007;0.5862
Afghanistan;"shweal_p90p100_z_AF
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2008;0.5854
Afghanistan;"shweal_p90p100_z_AF
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2009;0.5856
Afghanistan;"shweal_p90p100_z_AF
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2010;0.5855
Afghanistan;"shweal_p90p100_z_AF
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2011;0.5825
Afghanistan;"shweal_p90p100_z_AF
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2012;0.583
Afghanistan;"shweal_p90p100_z_AF
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2013;0.5832
Afghanistan;"shweal_p90p100_z_AF
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2014;0.5817
Afghanistan;"shweal_p90p100_z_AF
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2015;0.5821
Afghanistan;"shweal_p90p100_z_AF
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2016;0.5846
Afghanistan;"shweal_p90p100_z_AF
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2017;0.5858
Afghanistan;"shweal_p90p100_z_AF
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2018;0.5859
Afghanistan;"shweal_p90p100_z_AF
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2019;0.5858
Afghanistan;"shweal_p90p100_z_AF
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2020;0.5858
Afghanistan;"shweal_p90p100_z_AF
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2021;0.5858
Afghanistan;"shweal_p99p100_z_AF
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1998;0.2462
Afghanistan;"shweal_p99p100_z_AF
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1999;0.2449
Afghanistan;"shweal_p99p100_z_AF
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;2000;0.246
Afghanistan;"shweal_p99p100_z_AF
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;2001;0.2472
Afghanistan;"shweal_p99p100_z_AF
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;2002;0.2482
Afghanistan;"shweal_p99p100_z_AF
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;2003;0.247
Afghanistan;"shweal_p99p100_z_AF
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;2004;0.2494
Afghanistan;"shweal_p99p100_z_AF
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;2005;0.2503
Afghanistan;"shweal_p99p100_z_AF
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;2006;0.252
Afghanistan;"shweal_p99p100_z_AF
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;2007;0.2481
Afghanistan;"shweal_p99p100_z_AF
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;2008;0.2473
Afghanistan;"shweal_p99p100_z_AF
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;2009;0.2475
Afghanistan;"shweal_p99p100_z_AF
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;2010;0.2474
Afghanistan;"shweal_p99p100_z_AF
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;2011;0.2444
Afghanistan;"shweal_p99p100_z_AF
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;2012;0.2448
Afghanistan;"shweal_p99p100_z_AF
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;2013;0.2451
Afghanistan;"shweal_p99p100_z_AF
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;2014;0.2435
Afghanistan;"shweal_p99p100_z_AF
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;2015;0.2439
Afghanistan;"shweal_p99p100_z_AF
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;2016;0.2464
Afghanistan;"shweal_p99p100_z_AF
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;2017;0.2477
Afghanistan;"shweal_p99p100_z_AF
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;2018;0.2478
Afghanistan;"shweal_p99p100_z_AF
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;2019;0.2477
Afghanistan;"shweal_p99p100_z_AF
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;2020;0.2477
Afghanistan;"shweal_p99p100_z_AF
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;2021;0.2477
Africa;"shweal_p0p50_z_QB
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;1998;0.0074
Africa;"shweal_p0p50_z_QB
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;1999;0.0103
Africa;"shweal_p0p50_z_QB
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;2000;0.0111
Africa;"shweal_p0p50_z_QB
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;2001;0.0119
Africa;"shweal_p0p50_z_QB
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;2002;0.0123
Africa;"shweal_p0p50_z_QB
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;2003;0.0132
Africa;"shweal_p0p50_z_QB
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;2004;0.0138
Africa;"shweal_p0p50_z_QB
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;2005;0.0131
Africa;"shweal_p0p50_z_QB
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;2006;0.0108
Africa;"shweal_p0p50_z_QB
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;2007;0.0049
Africa;"shweal_p0p50_z_QB
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;2008;-0.0011
Africa;"shweal_p0p50_z_QB
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;2009;0
Africa;"shweal_p0p50_z_QB
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;2010;0.0016
Africa;"shweal_p0p50_z_QB
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;2011;0.0041
Africa;"shweal_p0p50_z_QB
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;2012;0.0064
Africa;"shweal_p0p50_z_QB
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;2013;0.0084
Africa;"shweal_p0p50_z_QB
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;2014;0.0103
Africa;"shweal_p0p50_z_QB
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;2015;0.0107
Africa;"shweal_p0p50_z_QB
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;2016;0.0114
Africa;"shweal_p0p50_z_QB
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;2017;0.0117
Africa;"shweal_p0p50_z_QB
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;2018;0.0124
Africa;"shweal_p0p50_z_QB
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;2019;0.0127
Africa;"shweal_p0p50_z_QB
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;2020;0.0135
Africa;"shweal_p0p50_z_QB
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;2021;0.0133
Africa;"shweal_p90p100_z_QB
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1998;0.7401
Africa;"shweal_p90p100_z_QB
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1999;0.7366
Africa;"shweal_p90p100_z_QB
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2000;0.7393
Africa;"shweal_p90p100_z_QB
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2001;0.7389
Africa;"shweal_p90p100_z_QB
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2002;0.7358
Africa;"shweal_p90p100_z_QB
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2003;0.7331
Africa;"shweal_p90p100_z_QB
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2004;0.7343
Africa;"shweal_p90p100_z_QB
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2005;0.7377
Africa;"shweal_p90p100_z_QB
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2006;0.743
Africa;"shweal_p90p100_z_QB
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2007;0.7523
Africa;"shweal_p90p100_z_QB
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2008;0.7549
Africa;"shweal_p90p100_z_QB
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2009;0.7502
Africa;"shweal_p90p100_z_QB
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2010;0.7454
Africa;"shweal_p90p100_z_QB
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2011;0.7377
Africa;"shweal_p90p100_z_QB
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2012;0.7324
Africa;"shweal_p90p100_z_QB
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2013;0.7325
Africa;"shweal_p90p100_z_QB
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2014;0.7317
Africa;"shweal_p90p100_z_QB
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2015;0.7293
Africa;"shweal_p90p100_z_QB
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2016;0.7247
Africa;"shweal_p90p100_z_QB
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2017;0.7213
Africa;"shweal_p90p100_z_QB
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2018;0.7176
Africa;"shweal_p90p100_z_QB
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2019;0.7137
Africa;"shweal_p90p100_z_QB
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2020;0.7086
Africa;"shweal_p90p100_z_QB
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2021;0.7106
Africa;"shweal_p99p100_z_QB
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1998;0.3969
Africa;"shweal_p99p100_z_QB
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1999;0.3947
Africa;"shweal_p99p100_z_QB
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;2000;0.3978
Africa;"shweal_p99p100_z_QB
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;2001;0.3976
Africa;"shweal_p99p100_z_QB
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;2002;0.3859
Africa;"shweal_p99p100_z_QB
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;2003;0.3837
Africa;"shweal_p99p100_z_QB
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;2004;0.3858
Africa;"shweal_p99p100_z_QB
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;2005;0.3928
Africa;"shweal_p99p100_z_QB
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;2006;0.4034
Africa;"shweal_p99p100_z_QB
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;2007;0.413
Africa;"shweal_p99p100_z_QB
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;2008;0.4105
Africa;"shweal_p99p100_z_QB
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;2009;0.4045
